run number,infNDCG
2,0.6006
44,0.6016
210,0.602
254,0.6044
260,0.606
274,0.6082
286,0.6096
328,0.6132
380,0.6226
470,0.6261
540,0.6265
552,0.6269
710,0.6275
742,0.6278
780,0.6297
785,0.6352
827,0.6356
833,0.6367
957,0.6377
1037,0.6392
1060,0.6404
1142,0.6416
1194,0.6433
1215,0.6435
1236,0.6472
1524,0.6474
1761,0.6479
1778,0.6503
2032,0.6548
2552,0.6566
2892,0.6578
