run number,infNDCG
2,0.5852
58,0.5872
176,0.5892
306,0.5939
436,0.5947
446,0.5954
456,0.5956
464,0.6023
466,0.6043
576,0.6081
630,0.6144
632,0.6184
662,0.6186
771,0.6198
778,0.62
934,0.6202
1138,0.6231
1153,0.6246
1247,0.6248
1482,0.6266
1619,0.6278
2625,0.628
2673,0.6284
2809,0.6294
3073,0.6315
3317,0.6359
