run number,infNDCG
2,0.5342
274,0.5373
278,0.5385
340,0.5387
380,0.5389
384,0.5403
446,0.541
474,0.5415
574,0.5488
586,0.5489
638,0.5551
722,0.556
737,0.5569
754,0.5645
766,0.5663
777,0.5709
779,0.572
788,0.5723
790,0.5728
959,0.5737
970,0.576
1158,0.5778
1205,0.579
1240,0.581
1358,0.5828
1447,0.583
1625,0.5855
