run number,infNDCG
2,0.5348
135,0.5366
137,0.5464
204,0.5505
238,0.5528
252,0.5562
364,0.5633
474,0.565
656,0.5655
754,0.5669
759,0.5681
856,0.5723
858,0.5825
1058,0.5847
1230,0.5848
1305,0.5919
1750,0.5921
