run number,infNDCG
2,0.5983
35,0.6031
700,0.6102
904,0.611
950,0.6122
1003,0.6199
1024,0.6261
1135,0.6282
1141,0.6298
1234,0.6299
1242,0.6337
1307,0.6346
1320,0.6357
1425,0.6359
1551,0.6383
1843,0.6405
1866,0.6414
1887,0.6418
1927,0.6434
1971,0.6474
2263,0.6485
2267,0.6508
2271,0.6539
2648,0.6541
2748,0.6554
2808,0.6557
2992,0.6562
