run number,infNDCG
2,0.5875
33,0.5895
98,0.5896
137,0.5897
184,0.5908
296,0.5977
416,0.598
434,0.6004
540,0.6061
620,0.6112
977,0.6136
1177,0.6138
1387,0.6145
1565,0.6146
1777,0.6178
1844,0.6191
1859,0.6194
1863,0.6203
1998,0.6218
2069,0.622
2122,0.6244
2241,0.6247
3587,0.626
3625,0.6261
3825,0.6286
