run number,infNDCG
2,0.5322
155,0.5327
166,0.5332
170,0.5371
240,0.546
256,0.5487
388,0.5497
398,0.5543
400,0.5585
428,0.5635
472,0.5653
498,0.5654
522,0.5682
624,0.5718
785,0.5734
1014,0.5747
1197,0.5766
1258,0.5788
1295,0.5792
1328,0.5794
1369,0.5834
2013,0.5836
