run number,infNDCG
2,0.598
33,0.6017
331,0.602
333,0.6036
523,0.6037
1193,0.6051
1243,0.6097
1354,0.6099
1514,0.613
1608,0.6142
1619,0.6194
1699,0.6197
1722,0.6201
2054,0.6212
2056,0.6261
2161,0.6276
2630,0.6279
3146,0.6301
3322,0.6339
3964,0.635
4130,0.6379
4158,0.6383
