run number,infNDCG
2,0.5318
211,0.5329
279,0.5335
309,0.5362
315,0.5547
401,0.5617
465,0.5626
485,0.5636
505,0.5651
533,0.5671
563,0.5674
685,0.5686
718,0.5702
723,0.5727
997,0.5739
1434,0.5742
1436,0.577
1734,0.5827
1805,0.5828
1902,0.5829
2114,0.5838
2204,0.5839
2320,0.5842
2324,0.5862
