run number,infNDCG
2,0.5962
35,0.5991
54,0.5997
77,0.5999
81,0.6013
255,0.6021
307,0.6052
311,0.6084
345,0.6085
359,0.6124
361,0.6139
417,0.6157
443,0.6179
469,0.6193
909,0.6195
1188,0.6196
1203,0.6203
1238,0.6224
1242,0.6245
1268,0.6254
1358,0.6265
1360,0.6271
1530,0.6361
1539,0.6389
1877,0.6391
1982,0.6398
2070,0.6401
2463,0.6421
2507,0.6425
2693,0.6427
2869,0.6433
3167,0.6436
3293,0.6463
3351,0.6464
3359,0.6468
3383,0.647
3475,0.6475
3679,0.6477
3857,0.6485
