run number,infNDCG
2,0.5849
35,0.5904
79,0.5934
325,0.594
335,0.5949
469,0.6031
623,0.6049
767,0.6051
800,0.6099
835,0.6117
854,0.6124
1035,0.6125
1037,0.6134
1058,0.6141
1079,0.6148
1085,0.6149
1230,0.6176
1331,0.6178
1499,0.6186
1501,0.6202
1705,0.6205
2272,0.6221
2274,0.623
2309,0.6256
2844,0.6311
3380,0.6314
3680,0.632
3710,0.6334
