run number,infNDCG
2,0.5405
76,0.544
334,0.5564
464,0.5571
528,0.5706
649,0.5737
708,0.5765
746,0.5767
759,0.5797
788,0.5806
1019,0.5822
1170,0.5825
1201,0.5851
1352,0.5867
1475,0.5911
2308,0.5915
