run number,infNDCG
2,0.5904
49,0.5923
76,0.5959
174,0.5986
186,0.6
190,0.6024
258,0.604
314,0.6064
334,0.6069
358,0.6076
406,0.608
446,0.6091
500,0.6097
508,0.6098
642,0.6106
778,0.6111
784,0.6121
786,0.6122
897,0.6145
961,0.6181
988,0.6191
1116,0.6228
1131,0.6229
1244,0.6253
1318,0.6267
1360,0.6269
1381,0.6274
1620,0.6295
1822,0.6297
1843,0.6352
2496,0.6366
2517,0.6377
3115,0.6427
3519,0.6434
3795,0.6436
3863,0.6443
4039,0.6455
