run number,infNDCG
2,0.5352
146,0.5385
176,0.5401
178,0.5409
196,0.5474
214,0.5494
226,0.5546
302,0.5547
366,0.5562
380,0.573
424,0.5739
464,0.5751
470,0.5757
502,0.5774
1510,0.5843
