run number,infNDCG
2,0.5908
44,0.592
169,0.5935
209,0.5966
365,0.6013
397,0.602
437,0.605
599,0.6066
733,0.6078
840,0.6113
842,0.6167
898,0.6172
1190,0.6197
1454,0.6208
1496,0.6213
1515,0.6215
1778,0.6221
1859,0.626
1987,0.6265
1990,0.6273
1992,0.629
