run number,infNDCG
2,0.5311
175,0.5317
219,0.5328
253,0.5329
301,0.5343
335,0.5376
391,0.5378
447,0.5493
497,0.5525
499,0.5526
551,0.5529
569,0.5571
571,0.5691
591,0.5712
657,0.5737
824,0.5751
1097,0.5756
1149,0.5765
1226,0.5779
1533,0.5792
1588,0.5793
1844,0.5804
1865,0.5805
2010,0.5812
